2025-11-14 15:23:29 | INFO | Finished parse_raw.
2025-11-14 15:23:29 | INFO | Loaded interactions: 70922
2025-11-14 15:23:31 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:23:31 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:23:31 | INFO | Preprocessing pipeline finished.
2025-11-14 15:23:31 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:23:31 | INFO | Loading processed interaction and feature files..
2025-11-14 15:23:31 | INFO | Loaded 70,922 interactions.
2025-11-14 15:23:31 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:23:31 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:23:31 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:23:39 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:23:39 | INFO | Building interactions DataFrame...
2025-11-14 15:23:40 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:23:40 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:23:40 | INFO | Finished parse_raw.
2025-11-14 15:23:40 | INFO | Loaded interactions: 70922
2025-11-14 15:23:42 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:23:42 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:23:42 | INFO | Preprocessing pipeline finished.
2025-11-14 15:23:42 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:23:42 | INFO | Loading processed interaction and feature files..
2025-11-14 15:23:42 | INFO | Loaded 70,922 interactions.
2025-11-14 15:23:42 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:23:42 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:23:42 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:31:36 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:31:36 | INFO | Building interactions DataFrame...
2025-11-14 15:31:36 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:31:36 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:31:36 | INFO | Finished parse_raw.
2025-11-14 15:31:36 | INFO | Loaded interactions: 70922
2025-11-14 15:31:38 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:31:38 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:31:38 | INFO | Preprocessing pipeline finished.
2025-11-14 15:31:38 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:31:38 | INFO | Loading processed interaction and feature files..
2025-11-14 15:31:38 | INFO | Loaded 70,922 interactions.
2025-11-14 15:31:38 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:31:38 | INFO | user.x shape = torch.Size([60144, 13])
2025-11-14 15:31:38 | INFO | item.x shape = torch.Size([3391, 13])
2025-11-14 15:31:38 | INFO | edge_index shape = torch.Size([2, 70922])
2025-11-14 15:31:38 | INFO | edge_attribute shape = torch.Size([70922, 4])
2025-11-14 15:31:38 | INFO | Constructing HeteroData graph...
2025-11-14 15:31:38 | INFO | Saved hetero graph → data/processed/hetero_graph.pt
2025-11-14 15:31:38 | INFO | Graph build complete.
2025-11-14 15:31:38 | INFO | Graph build complete.
2025-11-14 15:31:53 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:31:53 | INFO | Building interactions DataFrame...
2025-11-14 15:31:53 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:31:53 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:31:53 | INFO | Finished parse_raw.
2025-11-14 15:31:53 | INFO | Loaded interactions: 70922
2025-11-14 15:31:55 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:31:55 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:31:55 | INFO | Preprocessing pipeline finished.
2025-11-14 15:31:55 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:31:55 | INFO | Loading processed interaction and feature files..
2025-11-14 15:31:55 | INFO | Loaded 70,922 interactions.
2025-11-14 15:31:55 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:31:55 | INFO | user.x shape = torch.Size([60144, 13])
